IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Location,X,Y
000644777,WARRANTS,WARRANT ARREST,Thursday,03/06/2003,19:00,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.403675174069,37.7751775072045
000668705,WARRANTS,WARRANT ARREST,Friday,03/28/2003,10:00,BAYVIEW,"ARREST, BOOKED",1200 Block of PALOU AV,-122.38396343886,37.7299972589437
000728547,WARRANTS,WARRANT ARREST,Tuesday,03/18/2003,16:40,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.403675174069,37.7751775072045
000767244,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Sunday,06/29/2003,07:50,NORTHERN,"ARREST, BOOKED",600 Block of EDDY ST,-122.418216140593,37.7832571722888
000767244,DRUG/NARCOTIC,VISITING WHERE DRUGS ARE USED OR SMOKED,Sunday,06/29/2003,07:50,NORTHERN,"ARREST, BOOKED",600 Block of EDDY ST,-122.418216140593,37.7832571722888
000767244,OTHER OFFENSES,CONSPIRACY,Sunday,06/29/2003,07:50,NORTHERN,"ARREST, BOOKED",600 Block of EDDY ST,-122.418216140593,37.7832571722888
000793045,WARRANTS,WARRANT ARREST,Monday,05/19/2003,06:00,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.403675174069,37.7751775072045
000805991,WARRANTS,WARRANT ARREST,Tuesday,04/29/2003,13:40,NORTHERN,"ARREST, BOOKED",800 Block of VAN NESS AV,-122.420899861106,37.7830998598518
000810207,"SEX OFFENSES, FORCIBLE","ATTEMPTED RAPE, BODILY FORCE",Wednesday,07/09/2003,21:15,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.403742963163,37.7752317022311
000810207,"SEX OFFENSES, FORCIBLE",SEXUAL BATTERY,Wednesday,07/09/2003,21:15,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.403742963163,37.7752317022311
000810207,KIDNAPPING,FALSE IMPRISONMENT,Wednesday,07/09/2003,21:15,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.403742963163,37.7752317022311
000839564,WARRANTS,WARRANT ARREST,Wednesday,03/26/2003,12:20,,"ARREST, BOOKED",OUT OF TOWN,0,0
030203923,WARRANTS,WARRANT ARREST,Tuesday,02/18/2003,17:00,BAYVIEW,"ARREST, BOOKED",1600 Block of KIRKWOOD AV,-122.390718076188,37.7385560584619
030203939,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Tuesday,02/18/2003,16:30,SOUTHERN,"ARREST, CITED",400 Block of 10TH ST,-122.410499480261,37.7709080121265
001240708,WARRANTS,WARRANT ARREST,Tuesday,05/06/2003,15:10,TENDERLOIN,"ARREST, BOOKED",300 Block of EDDY ST,-122.413954401004,37.7837266691432
001294664,WARRANTS,WARRANT ARREST,Wednesday,01/01/2003,19:45,TENDERLOIN,"ARREST, BOOKED",TURK ST / TAYLOR ST,-122.41076876635,37.7832145189783
001302057,WARRANTS,WARRANT ARREST,Friday,04/11/2003,17:26,TARAVAL,"ARREST, BOOKED",RANDOLPH ST / HEAD ST,-122.464399080209,37.7142937891548
030203951,NON-CRIMINAL,LOST PROPERTY,Tuesday,02/11/2003,13:30,NORTHERN,NONE,600 Block of POLK ST,-122.418975990673,37.7822802427689
030203973,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Saturday,02/15/2003,10:00,RICHMOND,NONE,400 Block of 17TH AV,-122.476076157719,37.7798003502211
001525936,WARRANTS,WARRANT ARREST,Wednesday,02/19/2003,07:15,SOUTHERN,"ARREST, BOOKED",200 Block of 6TH ST,-122.406736227461,37.7793521642061
001532000,WARRANTS,WARRANT ARREST,Thursday,02/27/2003,07:50,INGLESIDE,"ARREST, BOOKED",0 Block of NANTUCKET AV,-122.440990149758,37.7280912993572
030203989,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Tuesday,02/18/2003,18:06,INGLESIDE,NONE,5100 Block of MISSION ST,-122.440486731269,37.717089261011
003027732,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Friday,03/07/2003,16:34,CENTRAL,"ARREST, BOOKED",200 Block of GEARY ST,-122.407810337041,37.7873789357712
003032800,ASSAULT,BATTERY,Thursday,04/10/2003,10:16,PARK,"ARREST, BOOKED",300 Block of WOODSIDE AV,-122.452192036764,37.7456678660441
003059315,WARRANTS,WARRANT ARREST,Tuesday,05/20/2003,07:45,,"ARREST, BOOKED",OUT OF TOWN,0,0
003070690,NON-CRIMINAL,FOUND PROPERTY,Wednesday,06/11/2003,14:25,BAYVIEW,NONE,1600 Block of PALOU AV,-122.392096198043,37.7346106238966
010013576,WARRANTS,WARRANT ARREST,Wednesday,03/05/2003,07:50,TARAVAL,"ARREST, BOOKED",0 Block of BORICA ST,-122.468567046618,37.7218120474233
010050142,WARRANTS,WARRANT ARREST,Friday,05/09/2003,19:45,TENDERLOIN,"ARREST, BOOKED",0 Block of MCALLISTER ST,-122.413430143292,37.7809244840289
010085149,WARRANTS,WARRANT ARREST,Saturday,01/11/2003,23:55,TENDERLOIN,"ARREST, BOOKED",MARKET ST / 8TH ST,-122.41474383539,37.7787192627661
010168585,WARRANTS,WARRANT ARREST,Thursday,02/27/2003,19:26,TENDERLOIN,"ARREST, BOOKED",300 Block of ELLIS ST,-122.411985603895,37.7850007126251
010284802,WARRANTS,WARRANT ARREST,Tuesday,04/01/2003,20:12,TENDERLOIN,"ARREST, BOOKED",500 Block of EDDY ST,-122.415916307497,37.7835460531365
010347892,WARRANTS,WARRANT ARREST,Tuesday,01/07/2003,08:45,INGLESIDE,"ARREST, BOOKED",300 Block of EDINBURGH ST,-122.430150533574,37.7237516945755
030204078,LARCENY/THEFT,PETTY THEFT AUTO STRIP,Monday,02/17/2003,15:00,RICHMOND,NONE,SPRUCE ST / ANZA ST,-122.452898067361,37.7803623690592
010413114,WARRANTS,WARRANT ARREST,Tuesday,04/01/2003,23:21,CENTRAL,"ARREST, BOOKED",600 Block of PACIFIC AV,-122.406292154396,37.7969378530276
010434104,WARRANTS,WARRANT ARREST,Thursday,03/13/2003,04:54,TENDERLOIN,"ARREST, BOOKED",LARKIN ST / GOLDEN GATE AV,-122.417146843843,37.7814463501111
010480260,WARRANTS,WARRANT ARREST,Saturday,03/15/2003,03:50,,"ARREST, BOOKED",UNKNOWN,0,0
010497538,VEHICLE THEFT,STOLEN MOTORCYCLE,Thursday,04/03/2003,20:20,,NONE,OUT OF TOWN,0,0
010497538,VEHICLE THEFT,"VEHICLE, RECOVERED, MOTORCYCLE",Thursday,04/03/2003,20:20,,NONE,OUT OF TOWN,0,0
010505147,WARRANTS,WARRANT ARREST,Thursday,01/30/2003,07:15,TENDERLOIN,"ARREST, BOOKED",0 Block of TURK ST,-122.410120385828,37.7832742526736
010541113,WARRANTS,WARRANT ARREST,Wednesday,04/16/2003,00:55,TENDERLOIN,"ARREST, BOOKED",TURK ST / TAYLOR ST,-122.41076876635,37.7832145189783
020910188,WARRANTS,WARRANT ARREST,Monday,01/27/2003,11:15,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.403675174069,37.7751775072045
020941923,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,02/06/2003,12:00,RICHMOND,NONE,4100 Block of GEARY BL,-122.463649337975,37.7810158001278
020957174,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Monday,03/31/2003,13:51,PARK,NONE,400 Block of STANYAN ST,-122.454416646218,37.7738144424117
020959750,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Wednesday,02/26/2003,07:09,BAYVIEW,NONE,2200 Block of NEWCOMB AV,-122.401128911522,37.7416238982259
020993548,NON-CRIMINAL,LOCATED PROPERTY,Tuesday,04/08/2003,12:00,,NONE,UNKNOWN,0,0
020996025,VEHICLE THEFT,STOLEN MOTORCYCLE,Monday,01/06/2003,08:13,TARAVAL,"ARREST, CITED",JUNIPERO SERRA BL / HOLLOWAY AV,-122.472321912644,37.7216221726592
020996025,VEHICLE THEFT,"VEHICLE, RECOVERED, MOTORCYCLE",Monday,01/06/2003,08:13,TARAVAL,"ARREST, CITED",JUNIPERO SERRA BL / HOLLOWAY AV,-122.472321912644,37.7216221726592
020996025,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,01/06/2003,08:13,TARAVAL,"ARREST, CITED",JUNIPERO SERRA BL / HOLLOWAY AV,-122.472321912644,37.7216221726592
030204084,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Tuesday,02/18/2003,17:41,NORTHERN,"ARREST, BOOKED",800 Block of GOUGH ST,-122.423875745902,37.7815322022236
021029708,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Tuesday,04/01/2003,10:54,,NONE,OUT OF TOWN,0,0
021040942,NON-CRIMINAL,LOCATED PROPERTY,Thursday,02/13/2003,23:09,,NONE,OUT OF TOWN,0,0
021055894,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Wednesday,04/16/2003,00:49,TENDERLOIN,NONE,0 Block of UNITED NATIONS PZ,-122.414283516807,37.7798026426118
021059573,VEHICLE THEFT,"VEHICLE, RECOVERED, MOTORCYCLE",Saturday,03/01/2003,17:59,,NONE,OUT OF TOWN,0,0
021065542,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Wednesday,02/19/2003,11:35,RICHMOND,NONE,2600 Block of PACIFIC AV,-122.439031526151,37.792834644197
021095721,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Wednesday,05/07/2003,13:33,,NONE,OUT OF TOWN,0,0
011230084,VEHICLE THEFT,STOLEN TRUCK,Tuesday,02/25/2003,11:00,,NONE,UNKNOWN,0,0
011230084,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Tuesday,02/25/2003,11:00,,NONE,UNKNOWN,0,0
011266697,WARRANTS,WARRANT ARREST,Sunday,06/15/2003,15:38,MISSION,"ARREST, BOOKED",100 Block of CAPP ST,-122.41860417617,37.7645406474689
021345708,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Tuesday,03/11/2003,05:02,,NONE,OUT OF TOWN,0,0
021347419,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Wednesday,01/01/2003,12:36,INGLESIDE,NONE,100 Block of ELSIE ST,-122.417482152738,37.7432053428649
030204090,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Tuesday,02/18/2003,17:45,PARK,"ARREST, BOOKED",2600 Block of GEARY BL,-122.447204008446,37.7823643146491
021526390,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Tuesday,01/07/2003,14:00,SOUTHERN,NONE,100 Block of CLARA ST,-122.400213058516,37.781219757735
030204090,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Tuesday,02/18/2003,17:45,PARK,"ARREST, BOOKED",2600 Block of GEARY BL,-122.447204008446,37.7823643146491
030204103,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,02/18/2003,18:26,BAYVIEW,"ARREST, CITED",16TH ST / 7TH ST,-122.395062849871,37.7665443562126
030204119,NON-CRIMINAL,LOST PROPERTY,Tuesday,02/18/2003,16:00,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403742963163,37.7752317022311
021534939,WEAPON LAWS,POSS OF LOADED FIREARM,Saturday,05/10/2003,08:18,,NONE,NO ADDRESS ENTERED,0,0
021534939,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,05/10/2003,08:18,,NONE,NO ADDRESS ENTERED,0,0
030204131,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Tuesday,02/18/2003,18:32,TENDERLOIN,"ARREST, BOOKED",0 Block of JONES ST,-122.412121608458,37.7813786406361
021536292,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Sunday,01/05/2003,11:31,INGLESIDE,NONE,0 Block of GARRISON AV,-122.412928651741,37.7108440493915
030206068,NON-CRIMINAL,LOST PROPERTY,Wednesday,02/19/2003,01:00,SOUTHERN,NONE,1300 Block of FOLSOM ST,-122.412227135355,37.7732376715687
030206074,FRAUD,"FALSE PRETENSES, GRAND THEFT",Monday,02/17/2003,09:00,CENTRAL,NONE,300 Block of COLUMBUS AV,-122.407669499424,37.7985117160826
021363120,VEHICLE THEFT,"VEHICLE, RECOVERED, MOTORCYCLE",Tuesday,01/28/2003,09:30,CENTRAL,NONE,1400 Block of LEAVENWORTH ST,-122.416396849194,37.7941810635756
021369190,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Monday,06/16/2003,03:30,,NONE,OUT OF TOWN,0,0
030206115,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,02/18/2003,18:45,MISSION,NONE,14TH ST / GUERRERO ST,-122.424412715072,37.7680054163869
030206159,ASSAULT,BATTERY OF A POLICE OFFICER,Wednesday,02/19/2003,09:30,SOUTHERN,"ARREST, BOOKED",400 Block of NATOMA ST,-122.40668477101,37.7810106825623
030206159,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Wednesday,02/19/2003,09:30,SOUTHERN,"ARREST, BOOKED",400 Block of NATOMA ST,-122.40668477101,37.7810106825623
030206165,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,02/18/2003,17:30,NORTHERN,NONE,OCTAVIA ST / OAK ST,-122.424246473478,37.7748122523492
030206171,TRESPASS,TRESPASSING,Wednesday,02/19/2003,08:08,SOUTHERN,NONE,500 Block of MARKET ST,-122.399860692395,37.7905089709634
030206187,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,02/19/2003,06:00,BAYVIEW,NONE,600 Block of SILLIMAN ST,-122.411042446829,37.7297148186521
030204131,DRUG/NARCOTIC,SALE OF MARIJUANA,Tuesday,02/18/2003,18:32,TENDERLOIN,"ARREST, BOOKED",0 Block of JONES ST,-122.412121608458,37.7813786406361
030204153,MISSING PERSON,MISSING JUVENILE,Tuesday,02/18/2003,07:00,INGLESIDE,NONE,600 Block of PRENTISS ST,-122.412471875496,37.7348960836964
021370216,VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Monday,01/13/2003,23:44,TARAVAL,JUVENILE BOOKED,3900 Block of 19TH AV,-122.472529445752,37.7171858507749
021370238,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Thursday,01/02/2003,13:00,,NONE,OUT OF TOWN,0,0
030204153,MISSING PERSON,FOUND PERSON,Tuesday,02/18/2003,07:00,INGLESIDE,NONE,600 Block of PRENTISS ST,-122.412471875496,37.7348960836964
030204181,ASSAULT,BATTERY,Tuesday,02/18/2003,18:15,CENTRAL,"ARREST, BOOKED",300 Block of COLUMBUS AV,-122.407069627873,37.7981847618287
030204238,OTHER OFFENSES,OBSCENE PHONE CALLS(S),Tuesday,02/18/2003,18:59,PARK,NONE,800 Block of CENTRAL AV,-122.445006858202,37.7773636900243
